     78.12 2.525571e+03 4.929751e+02 1.568068e+03 1.403000e-02
    117.19 2.628351e+03 5.292872e+02 1.717587e+03 1.921300e-02
    156.25 2.709660e+03 5.895357e+02 1.861173e+03 2.364100e-02
    195.31 2.740176e+03 5.938948e+02 1.904960e+03 2.887200e-02
    292.97 2.785102e+03 5.312367e+02 1.899696e+03 4.342800e-02
    390.62 2.808200e+03 5.365383e+02 1.936245e+03 5.681100e-02
    781.25 2.857796e+03 5.933134e+02 2.069809e+03 1.062900e-01
   1562.50 2.884629e+03 6.437803e+02 2.163725e+03 2.033530e-01
   3125.00 2.897963e+03 6.723311e+02 2.213218e+03 3.976110e-01
   7812.50 2.906943e+03 6.903693e+02 2.244245e+03 9.802850e-01
  15625.00 2.910357e+03 6.968192e+02 2.255080e+03 1.951150e+00
  31250.00 2.576753e+03 4.706317e+02 1.830005e+03 4.808730e+00
  46875.00 2.107306e+03 2.818573e+02 1.325751e+03 9.956622e+00
  62500.00 2.028065e+03 2.746780e+02 1.282883e+03 1.371910e+01
 117187.50 2.013692e+03 2.814563e+02 1.290990e+03 2.556179e+01
