     78.12 2.530364e+03 5.373455e+02 1.612903e+03 1.364000e-02
    117.19 2.645969e+03 5.881200e+02 1.789103e+03 1.844500e-02
    156.25 2.712232e+03 6.146281e+02 1.885984e+03 2.333000e-02
    195.31 2.744388e+03 6.337136e+02 1.951808e+03 2.817900e-02
    292.97 2.792672e+03 6.626612e+02 2.041624e+03 4.040900e-02
    390.62 2.816981e+03 6.779201e+02 2.094879e+03 5.250900e-02
    781.25 2.859594e+03 7.020500e+02 2.184468e+03 1.007110e-01
   1562.50 2.885337e+03 7.143878e+02 2.232222e+03 1.971130e-01
   3125.00 2.897102e+03 7.212730e+02 2.258808e+03 3.895860e-01
   7812.50 2.898992e+03 7.254578e+02 2.272356e+03 9.681580e-01
  15625.00 2.907344e+03 7.271683e+02 2.281554e+03 1.928510e+00
  31250.00 2.887916e+03 7.267904e+02 2.271448e+03 3.874180e+00
  46875.00 2.764690e+03 7.242922e+02 2.199703e+03 6.000809e+00
  62500.00 2.736745e+03 7.135693e+02 2.174827e+03 8.092599e+00
 117187.50 2.707242e+03 6.884478e+02 2.136828e+03 1.544346e+01
